Land,Wahlberechtigte
Schleswig-Holstein,2251796
Mecklenburg-Vorpommern,1350705
Hamburg,1281918
Niedersachsen,6117473
Bremen,483823
Brandenburg,2065944
Sachsen-Anhalt,1930880
Berlin,2505718
Nordrhein-Westfalen,13253554
Sachsen,3406430
Hessen,4413271
Thüringen,1834259
Rheinland-Pfalz,3092424
Bayern,9472738
Baden-Württemberg,7689895
Saarland,796072
