Gebiet,AfD,CDU,CSU,FDP,Grüne,Linke,SPD
Baden-Württemberg,12.2,34.4,NA,12.7,13.5,6.4,16.4
Emmendingen – Lahr,11.5,35.9,NA,10.6,13.7,5.8,17.9
